id,numCharPostTitle,numCharArticleTitle,numCharArticleDescr,numCharArticleKeywords,numCharArticleCaption,numCharArticleParagraph,avgWordLenPostTitle,avgWordLenArticleTitle,capitalPostTitle,numWords,commonPhrase
858462320779026432.000000,79.000000,119.000000,242.000000,102.000000,22.000000,7186.000000,5.454545,5.411765,0.000000,14.000000,0.000000
858421020331560960.000000,12.000000,88.000000,217.000000,156.000000,1346.000000,2442.000000,4.000000,6.800000,0.000000,3.000000,1.000000
858368123753435136.000000,89.000000,89.000000,149.000000,152.000000,460.000000,5857.000000,5.545455,4.846154,0.111111,18.000000,1.000000
858323428260139008.000000,36.000000,79.000000,81.000000,45.000000,21.000000,586.000000,5.000000,4.700000,0.111111,9.000000,1.000000
858283602626347008.000000,92.000000,92.000000,177.000000,43.000000,2472.000000,2998.000000,5.636364,5.636364,0.117647,17.000000,0.000000
858224473597779968.000000,38.000000,55.000000,117.000000,0.000000,201.000000,1271.000000,6.200000,6.428571,0.166667,6.000000,0.000000
858222698367000576.000000,62.000000,63.000000,130.000000,54.000000,743.000000,7842.000000,4.888889,4.888889,0.615385,13.000000,0.000000
858191667739987968.000000,87.000000,76.000000,76.000000,57.000000,0.000000,1293.000000,7.428571,5.555556,0.117647,17.000000,0.000000
858153572571197440.000000,68.000000,41.000000,77.000000,98.000000,0.000000,4847.000000,4.571429,4.800000,0.125000,16.000000,1.000000
858150052782645248.000000,60.000000,61.000000,218.000000,0.000000,0.000000,1443.000000,6.250000,6.250000,0.111111,9.000000,0.000000
858137811039465472.000000,47.000000,55.000000,119.000000,0.000000,0.000000,3184.000000,4.285714,4.375000,0.100000,10.000000,1.000000
858070460814184448.000000,75.000000,58.000000,183.000000,34.000000,14.000000,22066.000000,4.333333,4.222222,0.500000,18.000000,1.000000
858048368974733312.000000,106.000000,99.000000,95.000000,62.000000,60.000000,4298.000000,5.700000,6.083333,0.304348,23.000000,1.000000
858033553468252160.000000,89.000000,71.000000,73.000000,70.000000,223.000000,2805.000000,6.222222,6.000000,0.000000,16.000000,1.000000
858025529429065728.000000,116.000000,205.000000,30.000000,157.000000,94.000000,991.000000,5.785714,5.913043,0.272727,22.000000,0.000000
857977494275846144.000000,57.000000,57.000000,110.000000,76.000000,169.000000,9724.000000,4.444444,4.444444,0.250000,12.000000,0.000000
857970008269496320.000000,95.000000,74.000000,120.000000,38.000000,12.000000,3931.000000,6.250000,5.900000,0.000000,15.000000,0.000000
857924202548088832.000000,95.000000,95.000000,113.000000,147.000000,83.000000,4395.000000,7.500000,7.500000,0.000000,14.000000,0.000000
857902233232527360.000000,92.000000,46.000000,74.000000,0.000000,542.000000,8207.000000,6.636364,5.833333,0.066667,15.000000,0.000000
857883874663120896.000000,82.000000,83.000000,244.000000,0.000000,115.000000,6056.000000,7.375000,7.375000,0.090909,11.000000,0.000000
857818691471380480.000000,111.000000,69.000000,165.000000,172.000000,381.000000,7393.000000,5.615385,4.545455,0.086957,23.000000,1.000000
857681004047347712.000000,90.000000,99.000000,134.000000,0.000000,0.000000,2513.000000,5.700000,5.909091,0.117647,17.000000,1.000000
857659646663962624.000000,97.000000,64.000000,48.000000,76.000000,164.000000,7159.000000,5.416667,5.625000,0.052632,19.000000,1.000000
857647139127558144.000000,63.000000,63.000000,0.000000,0.000000,95.000000,198.000000,4.375000,4.875000,0.071429,14.000000,1.000000
857588031318110208.000000,81.000000,58.000000,231.000000,86.000000,445.000000,5478.000000,5.900000,5.375000,0.071429,14.000000,1.000000
857587134491893760.000000,48.000000,48.000000,0.000000,0.000000,140.000000,193.000000,6.666667,6.666667,0.000000,7.000000,0.000000
857543708828467200.000000,94.000000,79.000000,179.000000,78.000000,695.000000,9983.000000,5.909091,6.111111,0.058824,17.000000,0.000000
857542383784919040.000000,40.000000,59.000000,58.000000,0.000000,0.000000,780.000000,5.833333,6.714286,0.666667,6.000000,0.000000
857497306077302784.000000,115.000000,59.000000,149.000000,30.000000,206.000000,2616.000000,6.416667,6.285714,0.000000,18.000000,0.000000
857478939240955904.000000,57.000000,51.000000,131.000000,142.000000,1096.000000,11473.000000,5.000000,5.200000,0.071429,14.000000,0.000000
