id,normalized_stopwords_count,positive_sentiment_score,negative_sentiment_score,polarity_score,normalized_shortenings_count,normalized_slang_count
608310377143799810,0.1875,0.213,0.0,0.21299999999999997,0.0,0.0
609297109095972864,0.14285714285714285,0.244,0.0,0.244,0.0,0.0
609504474621612032,0.13333333333333333,0.201,0.104,0.30600000000000005,0.0,0.0
609748367049105409,0.18181818181818182,0.2,0.0,0.19999999999999996,0.0,0.0
608688782821453825,0.2777777777777778,0.0,0.293,0.29300000000000004,0.0,0.0
609551038983475201,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
609447408955719681,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
609027430624288769,0.25,0.0,0.18,0.18000000000000005,0.0,0.0
608229011572068352,0.16666666666666666,0.161,0.0,0.16100000000000003,0.0,0.0
609046214554755073,0.11764705882352941,0.0,0.0,0.0,0.0,0.0
609738211183751168,0.0,0.0,0.286,0.28600000000000003,0.0,0.0
609762671554990080,0.5333333333333333,0.0,0.306,0.30600000000000005,0.0,0.0
608980783924178945,0.2857142857142857,0.0,0.0,0.0,0.0,0.0
609998126737395712,0.2857142857142857,0.0,0.341,0.34099999999999997,0.0,0.0
608926452596273152,0.2727272727272727,0.0,0.231,0.23099999999999998,0.0,0.0
609300383358418945,0.1,0.326,0.0,0.32599999999999996,0.0,0.0
608875876474851328,0.09375,0.17,0.0,0.17000000000000004,0.0,0.05
610173844561788928,0.1111111111111111,0.0,0.13,0.13,0.0,0.0
609095030926635011,0.19230769230769232,0.122,0.0,0.122,0.05,0.0
608576531456249856,0.38461538461538464,0.265,0.166,0.43100000000000005,0.08333333333333333,0.0
609631563597389824,0.2857142857142857,0.0,0.576,0.5760000000000001,0.0,0.0
609372816568360960,0.11764705882352941,0.119,0.0,0.119,0.0,0.0
610103181578764291,0.36363636363636365,0.0,0.248,0.248,0.0,0.0
609425861561962496,0.2,0.0,0.198,0.19799999999999995,0.0,0.0
608658774769958912,0.25,0.0,0.0,0.0,0.0,0.0
609396415681445888,0.23076923076923078,0.0,0.211,0.21099999999999997,0.0,0.0
609337131698229249,0.1,0.262,0.277,0.538,0.0,0.0
610152342521028609,0.09090909090909091,0.0,0.0,0.0,0.0,0.1
608315579913629696,0.4,0.328,0.143,0.471,0.0,0.0
609417622485139456,0.08333333333333333,0.0,0.262,0.262,0.0,0.0
608347082844438530,0.18181818181818182,0.0,0.0,0.0,0.0,0.0
609066076282867712,0.36363636363636365,0.0,0.0,0.0,0.0,0.0
609507025555357696,0.4375,0.524,0.0,0.524,0.0,0.0
609141582290292736,0.5333333333333333,0.0,0.0,0.0,0.0,0.0
607867811352969216,0.2857142857142857,0.0,0.085,0.08499999999999996,0.0,0.0
609535458863882240,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
608953025017839616,0.25,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693
609518871779889152,0.5,0.258,0.072,0.32999999999999996,0.0625,0.0
610065075462930432,0.28,0.081,0.0,0.08099999999999996,0.0,0.058823529411764705
609890265306910720,0.25,0.0,0.0,0.0,0.0,0.0
607974158765400065,0.21428571428571427,0.0,0.0,0.0,0.0,0.0
609680396956094464,0.3333333333333333,0.0,0.0,0.0,0.125,0.0
609648479976222721,0.15789473684210525,0.0,0.205,0.20499999999999996,0.0,0.0
610149872059195392,0.18181818181818182,0.0,0.101,0.10099999999999998,0.0,0.0
609045959062896642,0.4166666666666667,0.0,0.0,0.0,0.0,0.047619047619047616
608390359023026178,0.36,0.0,0.0,0.0,0.0,0.0
609865605856899072,0.45454545454545453,0.244,0.0,0.244,0.0,0.0
609204522263650304,0.36363636363636365,0.0,0.0,0.0,0.0,0.0
608294260027346944,0.25,0.0,0.0,0.0,0.0,0.0
609780343680409600,0.2,0.231,0.0,0.23099999999999998,0.0,0.0
609220830501933056,0.34782608695652173,0.107,0.0,0.10699999999999998,0.0,0.0
610025386852810752,0.2,0.0,0.0,0.0,0.0,0.0
608838825918332930,0.14285714285714285,0.0,0.281,0.281,0.0,0.07692307692307693
609847126097530880,0.46153846153846156,0.111,0.0,0.11099999999999999,0.0,0.0
609722272824356865,0.2,0.238,0.273,0.51,0.0,0.0
609520823209168896,0.4,0.0,0.094,0.09399999999999997,0.0,0.0
607968621805989888,0.21052631578947367,0.0,0.0,0.0,0.0,0.0
610035233384218624,0.25,0.0,0.0,0.0,0.0,0.0
609426219306745856,0.35,0.0,0.187,0.18700000000000006,0.0,0.0
608831302490415106,0.2857142857142857,0.0,0.0,0.0,0.0,0.0
609581937548615680,0.15384615384615385,0.0,0.5,0.5,0.0,0.09090909090909091
609204644221423616,0.35714285714285715,0.0,0.253,0.253,0.0,0.0
608004081425227776,0.3181818181818182,0.091,0.0,0.09099999999999997,0.0,0.05263157894736842
609246844749803520,0.0,0.0,0.167,0.16700000000000004,0.0,0.0
608544822383792128,0.2222222222222222,0.0,0.0,0.0,0.0,0.0
608037914086404096,0.2222222222222222,0.118,0.0,0.118,0.0,0.0
609486085987680256,0.4,0.237,0.0,0.237,0.0,0.0
608739280559722498,0.25,0.0,0.123,0.123,0.0,0.0
608749345731674112,0.42857142857142855,0.0,0.0,0.0,0.0,0.0
610171029575610369,0.375,0.286,0.0,0.28600000000000003,0.0,0.0
608407227473502208,0.2,0.0,0.0,0.0,0.0,0.0
608203075459891200,0.16666666666666666,0.107,0.0,0.10699999999999998,0.0,0.0
609008121428721665,0.35294117647058826,0.303,0.0,0.30300000000000005,0.0,0.0625
607951390724341760,0.1111111111111111,0.0,0.217,0.21699999999999997,0.0,0.0
609854038688038912,0.125,0.271,0.168,0.43899999999999995,0.0,0.0
609120651895558144,0.3333333333333333,0.0,0.173,0.17300000000000004,0.0,0.0
609120937263300608,0.38461538461538464,0.203,0.0,0.20299999999999996,0.0,0.0
608434922840162305,0.3157894736842105,0.0,0.218,0.21799999999999997,0.0,0.0
608793539556708352,0.23529411764705882,0.0,0.13,0.13,0.0,0.0
608461361748828162,0.08333333333333333,0.0,0.196,0.19599999999999995,0.0,0.0
608734414546284544,0.35294117647058826,0.206,0.085,0.29100000000000004,0.0,0.0
608071418585214976,0.1724137931034483,0.333,0.0,0.33299999999999996,0.0,0.0
607836751726563328,0.2857142857142857,0.0,0.0,0.0,0.0,0.0
609138853375406080,0.07692307692307693,0.0,0.0,0.0,0.0,0.0
610037731935285248,0.0,0.0,0.0,0.0,0.0,0.0
608272113741533184,0.3125,0.0,0.205,0.20499999999999996,0.0,0.0
608932641207934976,0.1875,0.291,0.0,0.29100000000000004,0.1,0.0
609186132375416832,0.30434782608695654,0.0,0.0,0.0,0.0,0.0
609247701411217408,0.2222222222222222,0.0,0.0,0.0,0.0,0.0
608347443823017987,0.25,0.0,0.0,0.0,0.0,0.0
608856211795156993,0.2,0.189,0.392,0.5800000000000001,0.0,0.0
610035478432067584,0.25,0.0,0.0,0.0,0.0,0.0
608203134087921664,0.2777777777777778,0.0,0.0,0.0,0.0,0.0
609443836037873664,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
609342424889081856,0.2727272727272727,0.0,0.274,0.274,0.0,0.0
609326598358220800,0.14285714285714285,0.0,0.0,0.0,0.0,0.0
608170448807952386,0.4,0.135,0.0,0.135,0.0,0.0
607869505004400640,0.21428571428571427,0.408,0.0,0.40800000000000003,0.0,0.0
607994015955316736,0.2727272727272727,0.0,0.0,0.0,0.0,0.0
609223895531540481,0.23076923076923078,0.338,0.0,0.33799999999999997,0.0,0.08333333333333333
609417423809302528,0.2,0.0,0.176,0.17600000000000005,0.0,0.0
608502622983720960,0.38461538461538464,0.0,0.141,0.14100000000000001,0.0,0.08333333333333333
609276653928361984,0.18181818181818182,0.0,0.301,0.30100000000000005,0.0,0.0
609517182532362241,0.3076923076923077,0.153,0.439,0.5920000000000001,0.0,0.0
609716416887951360,0.1,0.0,0.0,0.0,0.0,0.0
608291519347486721,0.1,0.168,0.445,0.613,0.0,0.0
608492412416237568,0.38095238095238093,0.0,0.0,0.0,0.0,0.0
608807876308676609,0.25,0.244,0.0,0.244,0.0,0.07142857142857142
609973847996108800,0.2,0.0,0.0,0.0,0.0,0.0
608665805178339328,0.06666666666666667,0.0,0.0,0.0,0.0,0.0
610039839816294400,0.23076923076923078,0.0,0.375,0.375,0.0,0.0
610052516194217985,0.23076923076923078,0.0,0.458,0.45799999999999996,0.0,0.09090909090909091
608680091283881986,0.16666666666666666,0.0,0.248,0.248,0.0,0.0
609868855863844864,0.375,0.0,0.236,0.236,0.0,0.07692307692307693
609451868633198592,0.2,0.0,0.403,0.403,0.0,0.0
610040226178859009,0.4,0.0,0.0,0.0,0.0,0.0
609348103389487104,0.3125,0.225,0.0,0.22499999999999998,0.0,0.0
