id,numCharPostTitle,numCharArticleTitle,numCharArticleDescr,numCharArticleKeywords,numCharArticleCaption,numCharArticleParagraph,avgSimilarityPostTitle,avgWordLenPostTitle,avgWordLenArticleTitle,capitalPostTitle,numWords,commonPhrase
6.083103771437998e+17,75.0,103.0,184.0,78.0,2794.0,4081.0,0.03536268062229619,5.0,5.285714285714286,0.1875,16.0,1.0
6.092971090959729e+17,98.0,54.0,166.0,129.0,2074.0,430.0,0.04116321938336006,5.909090909090909,6.428571428571429,0.2857142857142857,21.0,0.0
6.09504474621612e+17,89.0,66.0,153.0,0.0,436.0,4082.0,0.0518449446373181,6.1,5.5,0.2,15.0,0.0
6.097483670491054e+17,62.0,62.0,114.0,132.0,1042.0,10660.0,0.05563012195731233,5.111111111111111,5.111111111111111,0.09090909090909091,11.0,0.0
6.086887828214538e+17,91.0,34.0,125.0,70.0,211.0,5734.0,0.028823453329175987,5.454545454545454,5.75,0.1111111111111111,18.0,0.0
6.095510389834752e+17,64.0,64.0,0.0,0.0,0.0,3620.0,0.016306507476684492,4.75,4.75,0.0,12.0,0.0
6.094474089557197e+17,92.0,76.0,154.0,66.0,0.0,5853.0,0.0185294589415881,5.25,6.4,0.05555555555555555,18.0,0.0
6.090274306242888e+17,67.0,67.0,171.0,0.0,0.0,753.0,0.029230014345551027,6.125,6.125,0.08333333333333333,12.0,0.0
6.082290115720684e+17,84.0,64.0,140.0,161.0,956.0,321.0,0.016182184060307667,5.083333333333333,5.0,0.16666666666666666,18.0,0.0
6.090462145547551e+17,80.0,79.0,157.0,0.0,167.0,4289.0,0.16469736347641117,5.0,5.0,0.058823529411764705,17.0,0.0
6.097382111837512e+17,71.0,71.0,134.0,47.0,14.0,2324.0,0.025832052552922008,6.1,6.1,0.2727272727272727,11.0,0.0
6.097626715549901e+17,68.0,73.0,160.0,43.0,7.0,2157.0,0.12997280116301402,4.666666666666667,5.5,0.06666666666666667,15.0,0.0
6.08980783924179e+17,77.0,77.0,36.0,108.0,0.0,6868.0,0.03577816195648719,6.875,6.875,0.07142857142857142,14.0,0.0
6.099981267373957e+17,86.0,153.0,187.0,21.0,87.0,4689.0,0.017756302494433593,6.1,6.647058823529412,0.0,14.0,0.0
6.089264525962732e+17,67.0,66.0,76.0,86.0,144.0,3297.0,0.007953866453286409,7.142857142857143,7.142857142857143,0.09090909090909091,11.0,0.0
6.09300383358419e+17,67.0,54.0,106.0,264.0,1832.0,342.0,0.02672759707431762,6.333333333333333,9.2,0.0,10.0,0.0
6.088758764748513e+17,139.0,70.0,100.0,19.0,161.0,4311.0,0.04717325851753818,5.722222222222222,4.545454545454546,0.21875,32.0,0.0
6.101738445617889e+17,67.0,67.0,128.0,55.0,15.0,4562.0,0.026738118757359614,6.5,6.5,0.0,9.0,0.0
6.09095030926635e+17,114.0,87.0,99.0,19.0,59.0,2011.0,0.039235372048411744,4.933333333333334,5.2727272727272725,0.2692307692307692,26.0,0.0
6.085765314562499e+17,69.0,141.0,192.0,94.0,2119.0,1729.0,0.03399597221894784,5.125,5.647058823529412,0.07692307692307693,13.0,0.0
6.096315635973898e+17,48.0,48.0,129.0,58.0,245.0,7425.0,0.008129590798184535,7.2,7.2,0.14285714285714285,7.0,1.0
6.09372816568361e+17,97.0,56.0,133.0,0.0,45.0,1513.0,0.13093123523562794,5.6923076923076925,4.666666666666667,0.47058823529411764,17.0,0.0
6.101031815787643e+17,58.0,58.0,110.0,87.0,0.0,874.0,0.01916543793292923,5.428571428571429,5.428571428571429,0.0,11.0,1.0
6.094258615619625e+17,87.0,75.0,81.0,45.0,0.0,6155.0,0.03524173805173912,5.6,4.545454545454546,0.3,20.0,0.0
6.086587747699589e+17,45.0,57.0,127.0,0.0,0.0,509.0,0.1383448064990022,5.0,5.0,0.125,8.0,0.0
6.093964156814459e+17,80.0,52.0,43.0,0.0,0.0,487.0,0.017235289014228692,7.0,6.0,0.38461538461538464,13.0,1.0
6.093371316982292e+17,55.0,33.0,91.0,70.0,112549.0,3549.0,2.5980561001759157e-301,6.142857142857143,8.0,0.5,10.0,0.0
6.101523425210286e+17,63.0,68.0,147.0,242.0,233.0,5410.0,0.06101722081606655,5.666666666666667,6.25,0.0,11.0,0.0
6.083155799136297e+17,68.0,64.0,0.0,0.0,0.0,1223.0,0.05945252740371248,4.777777777777778,4.625,0.06666666666666667,15.0,1.0
6.094176224851395e+17,66.0,63.0,173.0,191.0,295.0,7628.0,0.04549869888495409,5.888888888888889,5.888888888888889,0.5833333333333334,12.0,0.0
6.083470828444385e+17,49.0,38.0,129.0,0.0,816.0,2957.0,0.043366032671218226,5.666666666666667,6.75,0.7272727272727273,11.0,0.0
6.090660762828677e+17,53.0,54.0,0.0,0.0,346.0,534.0,0.06211988441432257,4.857142857142857,4.625,0.0,11.0,1.0
6.095070255553577e+17,68.0,47.0,0.0,0.0,376.0,81.0,0.029148469156844253,5.142857142857143,3.8,0.375,16.0,0.0
6.091415822902927e+17,64.0,40.0,106.0,0.0,0.0,2090.0,9.130601843858301e-301,5.6,5.0,0.06666666666666667,15.0,1.0
